#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
394321000 ; 0.00238926 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
394410000 ; 0.00179417 ; 3.29834 ; 0 ; 0 ; Unknown ; Unknown ; -1
394500000 ; 0.00146611 ; 3.30124 ; 0 ; 0 ; Unknown ; Unknown ; -1
394583000 ; 0.00222142 ; 3.29819 ; 0 ; 0 ; Unknown ; Unknown ; -1
394674000 ; 0.000951123 ; 3.2988 ; 0 ; 0 ; Unknown ; Unknown ; -1
394756000 ; 0.00153096 ; 3.2988 ; 0 ; 0 ; Unknown ; Unknown ; -1
394845000 ; 0.00326664 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
394939000 ; 0.00139363 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
395029000 ; 0.0016454 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
395118000 ; 0.00170262 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
395208000 ; 0.00173695 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
395297000 ; 0.00224049 ; 3.30009 ; 0 ; 0 ; Unknown ; Unknown ; -1
395386000 ; 0.00156529 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
395475000 ; 0.000859571 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
395564000 ; 0.000687909 ; 3.30261 ; 0 ; 0 ; Unknown ; Unknown ; -1
395652000 ; 0.00134785 ; 3.29819 ; 0 ; 0 ; Unknown ; Unknown ; -1
395741000 ; 0.0022176 ; 3.29834 ; 0 ; 0 ; Unknown ; Unknown ; -1
395830000 ; 0.00106175 ; 3.30063 ; 0 ; 0 ; Unknown ; Unknown ; -1
395919000 ; 0.00172551 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
396007000 ; 0.000768018 ; 3.29826 ; 0 ; 0 ; Unknown ; Unknown ; -1
396096000 ; 0.000397992 ; 3.3004 ; 0 ; 0 ; Unknown ; Unknown ; -1
396185000 ; 0.00108464 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
396274000 ; 0.00156529 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
396369000 ; 0.00168736 ; 3.29811 ; 0 ; 0 ; Unknown ; Unknown ; -1
396457000 ; 0.00140126 ; 3.29834 ; 0 ; 0 ; Unknown ; Unknown ; -1
396545000 ; 0.000336957 ; 3.29857 ; 0 ; 0 ; Unknown ; Unknown ; -1
